Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Вес;Цвет;Производитель;Ширина;Материал;Покрытие;"Угол открывания";Высота;"Единица измерения";Длина;"Нагрузка, N";"Размер чаши";"Установочный проем";"Общий размер";"Вес без упаковки";"Вес в упаковке";"Размеры упаковки";"Размер мойки";"Диаметр, мм";"Толщина стали,мм.";Размеры;Глубина;Диаметр;Толщина
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  PF 51605";985.52;freza-pf-51605;1;;;;;00000001880;0;"Фреза  PF 51605";"Фреза  PF 51605";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  PF 41273";685.00;freza-pf-41273;1;;;;;00000001882;0;"Фреза  PF 41273";"Фреза  PF 41273";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  d-9 5*10";600.00;freza-d-9-510;1;;;;;00000002055;0;"Фреза  d-9 5*10";"Фреза  d-9 5*10";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Промышленное оборудование и станки/Инструменты/Фреза";"Фреза  ";0.00;freza-;0;;;;;;;"Фреза  ";"Фреза  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Мебель для ванной комнаты";"Фотографии мебели для ванной комнаты";9.80;fotografii-mebeli-dlya-vannoj-komnaty;0;;;;;00000001873;67;"Фотографии мебели для ванной комнаты";"Фотографии мебели для ванной комнаты";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Фиксатор";"Фиксатор для Quadro V6/30 ";15.00;fiksator-dlya-quadro-v630-;1;;;;;00000002068;0;"Фиксатор для Quadro V6/30 ";"Фиксатор для Quadro V6/30 ";;;;shop_items_catalog_image1565_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Направляющие для выдвижных ящиков/Фиксатор";"Фиксатор для Quadro V6/30";15.00;fiksator-dlya-quadro-v630;1;;;;;00000001944;0;"Фиксатор для Quadro V6/30";"Фиксатор для Quadro V6/30";;;;shop_items_catalog_image1565.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Светильники/Удлинитель";"Удлинитель GTV, (16556) встраиваемый в столешницу серый круглый";2000.00;udlinitel-gtv-16556-vstraivaemyj-v-stoleshnitsu-seryj-kruglyj;1;;;;;00000002228;0;"Удлинитель GTV, (16556) встраиваемый в столешницу серый круглый";"Удлинитель GTV, (16556) встраиваемый в столешницу серый круглый";;;;"d769b503eab18cbcfa9c7779d220265c.jpg, c88372142aef8d7cfdd81b3200a8fa13_1.jpg";;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Светильники/Удлинитель";"Удлинитель GTV, (16501) встраиваемый в столешницу черный круглый";1330.00;udlinitel-gtv-16501-vstraivaemyj-v-stoleshnitsu-chernyj-kruglyj;1;;;;;00000002227;1;"Удлинитель GTV, (16501) встраиваемый в столешницу черный круглый";"Удлинитель GTV, (16501) встраиваемый в столешницу черный круглый";;;;"d769b503eab18cbcfa9c7779d220265c_1.jpg, c88372142aef8d7cfdd81b3200a8fa13.jpg, 0000086689.jpg";;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Светильники/Удлинитель";"Удлинитель GTV, (16484) встраиваемый в столешницу алюминий.пластик";2702.00;udlinitel-gtv-16484-vstraivaemyj-v-stoleshnitsu-alyuminijplastik;1;;;;;00000002226;1;"Удлинитель GTV, (16484) встраиваемый в столешницу алюминий.пластик";"Удлинитель GTV, (16484) встраиваемый в столешницу алюминий.пластик";;;;"406d892ef9a59477a325cdb5540602aa.jpg, tov2542.jpg, 20769dc12ad62bd606377284b769ceb3.jpg";;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголок ПЛ";"Уголок ПЛ с заглушкой Ольха тёмн.";0.72;ugolok-pl-s-zaglushkoj-olha-temn;1;;;;;00000002170;0;"Уголок ПЛ с заглушкой Ольха тёмн.";"Уголок ПЛ с заглушкой Ольха тёмн.";;;;ugolokplastikovyjbuk.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголок ПЛ";"Уголок ПЛ с заглушкой Ольха";0.72;ugolok-pl-s-zaglushkoj-olha;1;;;;;00000000851;0;"Уголок ПЛ с заглушкой Ольха";"Уголок ПЛ с заглушкой Ольха";;;;ugolokplastikovyjbuk_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;
